Timestamp,CPU %,Cores Used
1680420314.8855948,20.9,8
1680420316.886579,17.2,8
1680420318.8922272,16.3,8
1680420320.897452,15.4,8
1680420322.899921,15.5,8
1680420324.9054651,14.6,8
1680420326.907988,15.1,8
1680420328.912083,15.6,8
1680420330.917511,15.7,8
1680420332.923132,17.4,8
1680420334.928739,18.3,8
1680420336.931138,18.1,8
1680420338.936735,16.0,8
1680420340.942347,14.3,8
1680420342.947948,17.1,8
1680420344.952113,15.6,8
1680420346.953154,14.7,8
1680420348.956987,15.3,8
1680420350.9600582,14.7,8
1680420352.965635,16.4,8
1680420354.9674802,17.2,8
1680420356.968472,17.0,8
1680420358.973959,16.3,8
1680420360.978922,18.0,8
1680420362.9845371,15.0,8
1680420364.989456,18.9,8
1680420366.995022,17.9,8
1680420369.000413,15.0,8
1680420371.006019,15.2,8
1680420373.007469,18.9,8
1680420375.013021,18.3,8
1680420377.0163682,20.0,8
1680420379.0222871,23.1,8
1680420381.027026,26.7,8
1680420383.032884,24.7,8
1680420385.036391,20.2,8
1680420387.041992,19.6,8
1680420389.043394,17.6,8
1680420391.046304,16.4,8
1680420393.05192,15.6,8
1680420395.0564659,18.0,8
1680420397.062079,17.9,8
1680420399.0676851,17.2,8
1680420401.073287,17.7,8
1680420403.078848,18.4,8
1680420405.084451,18.2,8
1680420407.085282,15.1,8
1680420409.090754,15.9,8
1680420411.0961761,15.9,8
1680420413.098421,16.1,8
1680420415.100112,16.2,8
1680420417.1036491,18.1,8
1680420419.1086469,16.5,8
1680420421.1095738,17.8,8
1680420423.111286,17.2,8
1680420425.1134741,18.6,8
1680420427.113272,18.9,8
1680420429.1162481,16.0,8
1680420431.118504,16.1,8
1680420433.118167,15.3,8
1680420435.120904,15.6,8
1680420437.1202922,15.4,8
1680420439.1231182,15.9,8
1680420441.122699,15.7,8
1680420443.127088,16.7,8
1680420445.130181,18.4,8
1680420447.1318002,18.3,8
1680420449.136692,18.9,8
1680420451.141841,16.0,8
1680420453.1468658,15.2,8
1680420455.151911,15.3,8
1680420457.1570518,15.9,8
1680420459.162248,16.3,8
1680420461.168083,16.6,8
1680420463.170551,15.1,8
1680420465.172443,15.7,8
1680420467.177769,15.3,8
1680420469.18308,15.6,8
1680420471.185741,15.1,8
1680420473.191099,15.4,8
1680420475.196532,15.9,8
1680420477.201975,15.7,8
1680420479.2074041,16.2,8
1680420481.210318,17.5,8
1680420483.2113469,15.2,8
1680420485.2130282,18.4,8
1680420487.2185159,16.0,8
1680420489.2238111,15.7,8
1680420491.229325,15.7,8
1680420493.2348568,15.1,8
1680420495.2403898,15.9,8
1680420497.24593,15.6,8
1680420499.2514749,18.9,8
1680420501.255924,17.9,8
1680420503.26143,16.0,8
1680420505.266728,15.4,8
1680420507.272276,15.5,8
1680420509.2766101,15.9,8
1680420511.2796218,15.8,8
1680420513.285136,15.3,8
1680420515.2906828,15.6,8
1680420517.296221,16.8,8
1680420519.2994409,15.9,8
1680420521.304895,15.2,8
1680420523.3104372,15.2,8
1680420525.3144362,15.8,8
1680420527.320021,15.6,8
1680420529.3255732,17.8,8
1680420531.329447,15.9,8
1680420533.333011,15.2,8
1680420535.335834,16.6,8
1680420537.336342,15.6,8
1680420539.338773,15.7,8
1680420541.343294,18.3,8
1680420543.345515,17.4,8
1680420545.351062,18.1,8
1680420547.3552809,17.2,8
1680420549.3590772,16.3,8
1680420551.365164,16.2,8
1680420553.370671,15.2,8
1680420555.3762188,15.8,8
1680420557.381601,16.3,8
1680420559.384953,17.0,8
1680420561.386424,16.2,8
1680420563.3879008,15.4,8
1680420565.393427,15.8,8
1680420567.395942,24.1,8
1680420569.402022,15.6,8
1680420571.4075809,15.8,8
1680420573.41313,15.4,8
1680420575.4186828,15.3,8
